Clip,L1 Loss,L2 Loss,SNR (dB)
33524,3.423599,19.925348,20.61
33525,3.059346,16.283350,21.43
33526,3.059280,15.797832,21.40
33527,2.897340,14.986799,21.53
33528,3.016811,16.147181,21.24
33529,2.875860,14.009631,21.95
33530,3.204205,16.470921,21.36
33531,3.259856,17.513889,21.25
33532,3.839536,23.551577,20.07
33533,3.909826,24.025387,19.95
33534,3.334518,18.030277,21.08
33535,3.166750,16.100142,21.55
33536,3.030902,15.517431,21.80
33537,3.102451,15.682623,22.00
33538,3.123905,17.118221,22.05
33539,3.419416,19.174072,21.92
33540,3.194118,16.991142,22.58
33541,3.528257,21.835442,21.46
33542,3.200342,17.526854,22.20
33543,3.004499,14.383542,22.67
33544,2.784297,12.354213,22.95
33545,2.777217,12.906858,22.62
33546,2.996688,15.327251,21.96
33547,3.129905,16.158316,21.94
33548,2.878751,13.681860,22.84
33549,3.256137,16.448454,22.16
33550,3.250786,16.931381,22.17
33551,3.258638,15.965359,22.53
33552,3.191953,15.455846,22.57
33553,3.028631,13.974193,22.88
33554,2.942811,13.396525,22.97
33555,3.225003,16.857765,21.67
33556,3.108524,15.894209,21.49
33557,3.377252,19.236828,20.39
33558,3.600462,21.335014,19.70
33559,3.500959,20.506174,19.71
33560,3.393388,19.049486,20.18
33561,3.418125,19.293898,20.36
33562,3.464143,19.768885,20.40
33563,3.701272,22.529047,20.05
33564,4.111413,28.627998,19.37
33565,3.900122,27.323280,20.03
33566,3.157660,16.500212,22.63
33567,2.935868,13.999766,23.71
33568,2.839160,13.131479,24.29
33569,2.312577,8.656070,26.30
33570,2.308761,8.927115,26.23
33571,2.738552,12.380068,24.95
33572,3.022291,14.820524,24.41
33573,3.136062,15.786201,24.21
33574,3.956208,26.399555,21.75
33575,4.084175,27.767004,21.10
33576,3.792778,26.013130,20.71
33577,4.149674,29.700634,19.19
33578,4.032524,26.506744,18.91
33579,4.494496,33.136879,17.88
33580,4.790094,35.722038,17.71
33581,4.536314,32.756870,18.17
33582,4.602692,35.483395,17.85
33583,4.398648,32.945789,18.07
33584,4.261559,30.953415,18.12
33585,4.158608,29.085367,18.47
33586,4.752048,37.048832,17.66
33587,4.819685,35.864353,17.96
33588,5.040193,39.442467,17.67
33589,5.170500,41.667347,17.63
